34 Sit Up, abdominals, beginner,8.7, body-only 
London Bridges, lats, intermediate,7.8, other 
Muscle Up, lats, intermediate,8.9, other 
Negative Pull Up, lats, beginner,0, other 
Neutral Grip Pull Ups, lats, intermediate,7.7, body-only 
One Arm Against Wall, lats, beginner,5.8, none 
One Arm Lat Pulldown, lats, beginner,7.1, cable 
One Handed Hang, lats, beginner,3.2, other 
Overhead Lat, lats, expert,1.0, other 
Overhead Slam, lats, beginner,7.9, medicine-ball 
Pullups, lats, beginner,9.2, body-only 
Rockers (Pullover To Press) Straight Bar, lats, beginner,9.2, body-only 
Rocky Pull UpsPulldowns, lats, intermediate,9.0, other 
Rope Climb, lats, intermediate,8.5, other 
Rope Straight Arm Pulldown, lats, beginner,8.5, cable 
Shotgun Row, lats, beginner,9.1, cable 
Side To Side Chins, lats, intermediate,8.4, other 
Side Lying Floor Stretch, lats, beginner,1.0, none 
Straight Arm Pulldown, lats, beginner,8.2, cable 
Underhand Cable Pulldowns, lats, beginner,8.5, cable 
V Bar Pulldown, lats, intermediate,8.9, cable 
V Bar Pullup, lats, beginner,8.8, body-only 
Weighted Pull Ups, lats, intermediate,9.5, other 
Wide Grip Lat Pulldown, lats, beginner,8.6, cable 
Wide Grip Pull Up, lats, intermediate,0, body-only 
Wide Grip Pulldown Behind The Neck, lats, intermediate,7.0, cable 
Wide Grip Rear Pull Up, lats, intermediate,8.6, body-only 
Atlas Stone Trainer, lower-back, intermediate,6.4, other 
Atlas Stones, lower-back, expert,9.3, other 
Axle Deadlift, lower-back, intermediate,9.3, other 
Cat Stretch, lower-back, beginner,5.0, none 
Child's Pose, lower-back, beginner,5.0, none 
Crossover Reverse Lunge, lower-back, intermediate,3.9, none 
Dancer's Stretch, lower-back, intermediate,3.9, none 
Deadlift with Bands, lower-back, expert,8.6, barbell 
Deadlift with Chains, lower-back, expert,8.6, barbell 
Deficit Deadlift, lower-back, intermediate,9.4, barbell 
Hug A Ball, lower-back, beginner,5.3, exercise-ball 
Hug Knees To Chest, lower-back, beginner,4.1, none 
Hyperextensions (Back Extensions), lower-back, beginner,4.1, none 
Hyperextensions With No Hyperextension Bench, lower-back, intermediate,9.0, body-only 
Keg Load, lower-back, intermediate,0, other 
Lower Back SMR, lower-back, beginner,4.8, foam-roll 
Partner Flat Bench Back Extension, lower-back, intermediate,0, other 
Partner Flat Bench Back Extension With Hold, lower-back, intermediate,0, other 
Partner Supermans With Alternating High Five, lower-back, beginner,0, body-only 
Pelvic Tilt Into Bridge, lower-back, intermediate,4.8, none 
Pyramid, lower-back, beginner,1.0, exercise-ball 
Rack Pull with Bands, lower-back, intermediate,8.5, barbell 
Rack Pulls, lower-back, intermediate,8.5, barbell 
Reverse Band Deadlift, lower-back, expert,0, barbell 
Seated Back Extension, lower-back, beginner,8.0, machine 
Seated Good Mornings, lower-back, intermediate,8.3, barbell 
Standing Pelvic Tilt, lower-back, beginner,2.6, none 
Stiff Leg Barbell Good Morning, lower-back, beginner,8.1, barbell 
Superman, lower-back, beginner,8.6, body-only 
Weighted Ball Hyperextension, lower-back, intermediate,8.3, exercise-ball 
Alternating Kettlebell Row, middle-back, intermediate,8.0, kettlebells 
Alternating Renegade Row, middle-back, expert,8.5, kettlebells 
Bent Over Barbell Row, middle-back, beginner,8.7, barbell 
Bent Over One Arm Long Bar Row, middle-back, beginner,8.9, barbell 
Bent Over Two Arm Long Bar Row, middle-back, intermediate,9.0, barbell 
Bent Over Two Dumbbell Row, middle-back, beginner,8.3, dumbbell 
Bent Over Two Dumbbell Row With Palms In, middle-back, beginner,8.8, dumbbell 
Bodyweight Mid Row, middle-back, intermediate,9.0, other 
Dumbbell Incline Row, middle-back, beginner,8.7, dumbbell 
Incline Bench Pull, middle-back, beginner,7.6, barbell 
Inverted Row, middle-back, beginner,8.2, none 
Inverted Row with Straps, middle-back, beginner,6.0, other 
Leverage High Row, middle-back, beginner,7.8, machine 
Lying Cambered Barbell Row, middle-back, beginner,6.2, barbell 
Lying T Bar Row, middle-back, intermediate,8.0, machine 
Man Maker, middle-back, intermediate,0, dumbbell 
Middle Back Shrug, middle-back, intermediate,8.2, dumbbell 
Middle Back Stretch, middle-back, beginner,3.8, none 
Mixed Grip Chin, middle-back, expert,8.2, other 
One Arm Chin Up, middle-back, expert,7.0, other 
One Arm Dumbbell Row, middle-back, beginner,9.0, dumbbell 
One Arm Kettlebell Row, middle-back, intermediate,8.1, kettlebells 
One Arm Long Bar Row, middle-back, beginner,9.1, barbell 
Partner Facing Feet Elevated Side Plank With Band Row, middle-back, expert,0, bands 
Partner Facing Plank With Band Row, middle-back, intermediate,0, bands 
Partner Facing Side Plank With Band Row, middle-back, intermediate,0, bands 
Pendlay Rown, middle-back, intermediate,0, barbell 
Plate Row, middle-back, beginner,0, barbell 
Reverse Grip Bent Over Rows, middle-back, intermediate,9.2, barbell 
Rhomboids SMR, middle-back, intermediate,6.0, foam-roll 
Seated Cable Rows, middle-back, beginner,8.9, cable 
Seated One arm Cable Pulley Rows, middle-back, intermediate,8.3, cable 
Single Arm Landmine Row, middle-back, intermediate,0, barbell 
Sled Row, middle-back, beginner,0, other 
Smith Machine Bent Over Row, middle-back, beginner,8.1, machine 
Spinal Stretch, middle-back, beginner,5.3, none 
Straight Bar Bench Mid Rows, middle-back, beginner,0, barbell 
Suspended Row, middle-back, beginner,7.6, other 
T Bar Row, middle-back, intermediate,8.3, barbell 
T Bar Row with Handle, middle-back, beginner,9.4, barbell 
Two Arm Kettlebell Row, middle-back, intermediate,7.3, kettlebells 
Upper Back Stretch, middle-back, beginner,4.2, none 
Yates Row, middle-back, beginner,0, barbell 
Yates Row Reverse Grip, middle-back, beginner,0, barbell 
Chin To Chest Stretch, neck, beginner,3.7, none 
Isometric Neck Exercise Front And Back, neck, beginner,6.4, body-only 
Isometric Neck Exercise Sides, neck, beginner,7.3, body-only 
Lying Face Down Plate Neck Resistance, neck, intermediate,9.3, other 
Lying Face Up Plate Neck Resistance, neck, intermediate,8.3, other 
Neck Bridge Prone, neck, intermediate,0, body-only 
Neck SMR, neck, intermediate,2.8, other 
Seated Head Harness Neck Resistance, neck, intermediate,7.6, other 
Side Neck Stretch, neck, beginner,4.5, none 
All Fours Quad Stretch, quadriceps, intermediate,4.9, body-only 
Alternate Leg Diagonal Bound, quadriceps, beginner,6.9, none 
Backward Drag, quadriceps, beginner,6.9, other 
Barbell Full Squat, quadriceps, intermediate,9.4, barbell 
Barbell Hack Squat, quadriceps, intermediate,8.4, barbell 
Barbell Lunge, quadriceps, intermediate,8.9, barbell 
Barbell Reverse Lunge, quadriceps, beginner,0, barbell 
Barbell Side Split Squat, quadriceps, beginner,7.6, barbell 
Barbell Squat, quadriceps, beginner,9.1, barbell 
Barbell Squat To A Bench, quadriceps, expert,7.3, barbell 
Barbell Squat To A Box, quadriceps, beginner,0, other 
Barbell Step Ups, quadriceps, intermediate,8.7, barbell 
Barbell Thruster, quadriceps, intermediate,0, barbell 
Barbell Walking Lunge, quadriceps, beginner,9.5, barbell 
Bear Crawl Sled Drags , quadriceps, - 
Bench Jump, quadriceps, intermediate,7.5, body-only 
Bench Sprint, quadriceps, beginner,6.7, other 
Bicycling, quadriceps, beginner,8.9, other 
Bicycling, Stationary, quadriceps, - 
Bodyweight Reverse Lunge, quadriceps, beginner,0, body-only 
Bodyweight Squat, quadriceps, beginner,8.9, body-only 
Bodyweight Walking Lunge, quadriceps, beginner,8.0, none 
Bosu Ball Squat, quadriceps, intermediate,0, exercise-ball 
Box Squat, quadriceps, intermediate,9.2, barbell 
Box Squat with Bands, quadriceps, expert,9.0, barbell 
Box Squat with Chains, quadriceps, expert,0, barbell 
Burpee, quadriceps, intermediate,9.2, body-only 
Burpee Over Barbell, quadriceps, intermediate,0, barbell 
Butt Kicks, quadriceps, beginner,8.2, body-only 
Cable Deadlifts, quadriceps, beginner,7.7, cable 
Cable Hip Adduction, quadriceps, beginner,8.2, cable 
Car Deadlift, quadriceps, intermediate,0, other 
Chair Squat, quadriceps, beginner,8.6, machine 
Clean from Blocks, quadriceps, intermediate,9.5, barbell 
Clean Pull , quadriceps, - 
Conan's Wheel, quadriceps, - 
Defensive Slide, quadriceps, beginner,0, body-only 
Depth Jump Leap, quadriceps, beginner,0, other 
Double Leg Butt Kick, quadriceps, beginner,9.0, body-only 
Dumbbell Goblet Squat, quadriceps, beginner,8.6, dumbbell 
Dumbbell Lunges, quadriceps, beginner,8.9, dumbbell 
Dumbbell Overhead Squat , quadriceps, - 
Dumbbell Rear Lunge, quadriceps, intermediate,9.0, dumbbell 
Dumbbell Seated Box Jump, quadriceps, intermediate,8.3, dumbbell 
Dumbbell Squat, quadriceps, beginner,9.0, dumbbell 
Dumbbell Squat To A Bench, quadriceps, intermediate,7.0, dumbbell 
Dumbbell Step Ups, quadriceps, intermediate,8.3, dumbbell 
Elevated Back Lunge, quadriceps, intermediate,0, barbell 
Elliptical Trainer, quadriceps, intermediate,8.8, machine 
Fast Kick With Arm Circles, quadriceps, beginner,0, body-only 
Fast Skipping, quadriceps, beginner,5.8, body-only 
Feet Jack, quadriceps, beginner,0, body-only 
Football Up Down, quadriceps, intermediate,0, body-only 
Forward Band Walk, quadriceps, beginner,0, bands 
Frankenstein Squat, quadriceps, intermediate,7.7, barbell 
Freehand Jump Squat, quadriceps, intermediate,8.4, body-only 
Frog Hops, quadriceps, intermediate,3.9, none 
Front Barbell Squat, quadriceps, expert,9.0, barbell 
Front Barbell Squat To A Bench, quadriceps, expert,5.3, barbell 
Front Cone Hops (or hurdle hops), quadriceps, expert,5.3, barbell 
Front Squat (Clean Grip), quadriceps, expert,5.3, barbell 
Front Squats With Two Kettlebells, quadriceps, intermediate,9.1, kettlebells 
Front To Back Squat With Belt, quadriceps, intermediate,0, barbell 
Goblet Squat, quadriceps, beginner,9.1, kettlebells 
Hack Squat, quadriceps, beginner,8.3, machine 
Hang Clean, quadriceps, intermediate,9.3, barbell 
Hang Clean Below the Knees, quadriceps, intermediate,8.5, barbell 
Heaving Snatch Balance, quadriceps, intermediate,0, barbell 
High Knee Jog, quadriceps, intermediate,0, body-only 
Hip Flexion with Band, quadriceps, beginner,0, bands 
Ice Skater, quadriceps, beginner,0, body-only 
Intermediate Hip Flexor and Quad Stretch, quadriceps, intermediate,6.3, other 
Iron Crosses (stretch), quadriceps, intermediate,6.3, other 
Jefferson Squats, quadriceps, intermediate,8.0, barbell 
Jerk Dip Squat, quadriceps, intermediate,8.0, barbell 
Jog In Place, quadriceps, beginner,8.9, body-only 
Jogging Treadmill, quadriceps, beginner,8.3, machine 
Jump Lunge To Feet Jack, quadriceps, intermediate,0, body-only 
Jump Squat, quadriceps, intermediate,7.7, body-only 
Jumping Jacks, quadriceps, beginner,0, none 
Kettlebell Curtsy Lunge, quadriceps, beginner,0, kettlebells 
Kettlebell Pistol Squat, quadriceps, expert,9.1, kettlebells 
Kettlebell Sumo Squat, quadriceps, intermediate,0, kettlebells 
Kneeling Hip Flexor, quadriceps, beginner,5.1, none 
Lateral Speed Step, quadriceps, beginner,0, body-only 
Leg Extensions, quadriceps, beginner,8.6, machine 
Leg Press, quadriceps, beginner,8.9, machine 
Leverage Deadlift, quadriceps, beginner,0, machine 
Linear Depth Jump, quadriceps, intermediate,0, other 
Looking At Ceiling, quadriceps, beginner,4.3, none 
Lunge Sprint, quadriceps, intermediate,0, machine 
Lying Machine Squat, quadriceps, intermediate,8.4, machine 
Lying Prone Quadriceps, quadriceps, expert,0, body-only 
Machine Squat, quadriceps, intermediate,8.7, machine 
Mountain Climbers, quadriceps, beginner,8.7, none 
Narrow Stance Hack Squats, quadriceps, intermediate,8.8, machine 
Narrow Stance Leg Press, quadriceps, intermediate,9.1, machine 
Narrow Stance Squats, quadriceps, intermediate,8.9, barbell 
Olympic Squat , quadriceps, - 
On Your Side Quad Stretch, quadriceps, beginner,3.3, none 
On Your Back Quad Stretch, quadriceps, beginner,3.3, other 
One Half Locust, quadriceps, beginner,4.7, none 
One Leg Barbell Squat, quadriceps, expert,8.6, barbell 
One Arm Overhead Kettlebell Squats, quadriceps, expert,7.0, kettlebells 
One Arm Side Deadlift, quadriceps, expert,8.5, barbell 
Overhead Squat, quadriceps, expert,7.9, barbell 
Pistol Squat, quadriceps, intermediate,7.2, body-only 
Plie Dumbbell Squat, quadriceps, beginner,8.3, dumbbell 
Power Jerk , quadriceps, - 
Power Snatch from Blocks, quadriceps, intermediate,0, barbell 
Quad Stretch, quadriceps, intermediate,4.5, other 
Quadriceps SMR, quadriceps, intermediate,6.0, foam-roll 
Quick Leap, quadriceps, beginner,0, other 
Rear Leg Raises, quadriceps, beginner,3.1, body-only 
Recumbent Bike, quadriceps, beginner,8.2, machine 
Reverse Band Box Squat, quadriceps, intermediate,9.3, barbell 
Reverse Band Power Squat, quadriceps, expert,0, barbell 
Rickshaw Deadlift , quadriceps, - 
Rocket Jump, quadriceps, beginner,8.0, body-only 
Rope Jumping, quadriceps, intermediate,9.3, other 
Rowing, Stationary, quadriceps, - 
Running, Treadmill, quadriceps, - 
Sandbag Load, quadriceps, beginner,0, other 
Scissors Jump, quadriceps, beginner,8.7, body-only 
Seated Leg Press, quadriceps, beginner,8.7, machine 
Side Hop Sprint, quadriceps, beginner,0, other 
Side Lunge, quadriceps, beginner,8.6, body-only 
Side Standing Long Jump, quadriceps, beginner,0, none 
Side to Side Box Shuffle, quadriceps, beginner,9.0, other 
Single Arm Overhead Kettlebell Squat, quadriceps, expert,0, kettlebells 
Single Leg Butt Kick, quadriceps, beginner,0, body-only 
Single Leg Push off, quadriceps, beginner,9.3, other 
Single Arm Dumbbell Overhead Squat, quadriceps, intermediate,0, dumbbell 
Single Cone Sprint Drill, quadriceps, beginner,0, other 
Single Leg Box Jump, quadriceps, expert,0, other 
Single Leg Box Squat, quadriceps, intermediate,0, other 
Single Leg High Box Squat, quadriceps, beginner,8.8, other 
Single Leg Hop Progression, quadriceps, beginner,0, other 
Single Leg Lateral Hop, quadriceps, beginner,0, other 
Single Leg Leg Extension, quadriceps, beginner,8.6, machine 
Single Leg Press, quadriceps, intermediate,0, machine 
Single Leg Stride Jump, quadriceps, beginner,0, other 
Sit Squats, quadriceps, beginner,5.1, none 
Skating, quadriceps, intermediate,8.4, other 
Sled Drag Harness, quadriceps, beginner,0, other 
Sled Push, quadriceps, beginner,6.8, other 
Slide Jump Shot, quadriceps, beginner,0, body-only 
Slow Jog, quadriceps, beginner,0, body-only 
Smith Machine Leg Press, quadriceps, intermediate,8.0, machine 
Smith Machine Pistol Squat, quadriceps, intermediate,6.5, machine 
Smith Machine Squat, quadriceps, beginner,8.7, machine 
Smith Single Leg Split Squat, quadriceps, beginner,8.0, machine 
Snatch, quadriceps, intermediate,9.3, barbell 
Snatch Balance , quadriceps, - 
Snatch from Blocks, quadriceps, expert,0, barbell 
Speed Box Squat, quadriceps, intermediate,0, barbell 
Speed Squats, quadriceps, expert,7.7, barbell 
Split Clean, quadriceps, intermediate,0, barbell 
Split Jerk, quadriceps, intermediate,8.3, barbell 
Split Jump, quadriceps, beginner,8.0, body-only 
Split Squat with Dumbbells, quadriceps, beginner,8.8, dumbbell 
Split Squat With Kettlebells, quadriceps, intermediate,0, kettlebells 
Square Hop, quadriceps, beginner,0, body-only 
Squat Jerk, quadriceps, expert,0, barbell 
Squat with Bands, quadriceps, intermediate,0, barbell 
Squat with Chains, quadriceps, intermediate,9.0, barbell 
Squat with Plate Movers, quadriceps, intermediate,0, barbell 
Squats With Bands, quadriceps, beginner,5.8, bands 
Stairmaster, quadriceps, intermediate,8.9, machine 
Standing Elevated Quad Stretch, quadriceps, beginner,2.7, other 
Standing Hip Flexors, quadriceps, beginner,4.4, none 
Standing Long Jump, quadriceps, beginner,8.7, body-only 
Star Jump, quadriceps, beginner,0, body-only 
Step Mill, quadriceps, intermediate,9.1, machine 
Stride Jump Crossover, quadriceps, beginner,0, other 
Suspended Split Squat, quadriceps, intermediate,0, other 
Tire Flip, quadriceps, intermediate,9.4, other 
Trail RunningWalking, quadriceps, beginner,8.8, none 
Trap Bar Deadlift, quadriceps, beginner,9.3, other 
Vertical Mountain Climber, quadriceps, beginner,0, body-only 
Walking High Knees, quadriceps, beginner,7.7, body-only 
Walking Lunge With Overhead Weight, quadriceps, intermediate,0, other 
Walking, Treadmill, quadriceps, - 
Wall Ball Squat, quadriceps, intermediate,0, medicine-ball 
Weighted Jump Squat , quadriceps, - 
Weighted Sissy Squat, quadriceps, expert,8.4, barbell 
Weighted Squat, quadriceps, intermediate,7.2, other 
Wide Stance Barbell Squat, quadriceps, intermediate,8.5, barbell 
Wide Stance Leg Press, quadriceps, beginner,0, machine 
Yoke Walk, quadriceps, intermediate,0, other 
Zercher Squats, quadriceps, expert,7.8, barbell 
Alternating Cable Shoulder Press, shoulders, beginner,7.8, cable 
Alternating Deltoid Raise, shoulders, beginner,9.1, dumbbell 
Alternating Kettlebell Press, shoulders, intermediate,8.6, kettlebells 
Anti Gravity Press, shoulders, beginner,8.4, barbell 
Arm Circles, shoulders, beginner,5.0, none 
Arnold Dumbbell Press, shoulders, intermediate,8.9, dumbbell 
Axle Clean And Press, shoulders, expert,0, barbell 
Back Flyes With Bands, shoulders, beginner,8.1, bands 
Backward Medicine Ball Throw, shoulders, beginner,6.8, medicine-ball 
Band Pull Apart, shoulders, beginner,7.8, bands 
Barbell Front Raise, shoulders, beginner,0, barbell 
Barbell Incline Shoulder Raise, shoulders, beginner,6.5, barbell 
Barbell Rear Delt Row, shoulders, beginner,8.5, barbell 
Barbell Shoulder Press, shoulders, intermediate,8.8, barbell 
Battling Ropes, shoulders, beginner,8.8, other 
Bent Over Dumbbell Rear Delt Raise With Head On Bench, shoulders, beginner,8.4, dumbbell 
Bent Over Low Pulley Side Lateral, shoulders, beginner,8.9, cable 
BradfordRocky Presses, shoulders, beginner,8.2, barbell 
Cable Internal Rotation, shoulders, beginner,8.5, cable 
Cable Rear Delt Fly, shoulders, beginner,8.2, cable 
Cable Rope Rear Delt Rows, shoulders, beginner,8.4, cable 
Cable Seated Lateral Raise, shoulders, beginner,6.6, cable 
Cable Shoulder Press, shoulders, beginner,8.1, cable 
Car Drivers, shoulders, beginner,8.9, barbell 
Chair Upper Body Stretch, shoulders, beginner,4.1, other 
Circus Bell, shoulders, expert,7.7, other 
Clean and Jerk, shoulders, expert,9.3, barbell 
Clean and Press, shoulders, intermediate,9.5, barbell 
Crucifix, shoulders, beginner,6.0, other 
Cuban Press, shoulders, intermediate,8.0, dumbbell 
Double Kettlebell Jerk, shoulders, intermediate,7.0, kettlebells 
Double Kettlebell Push Press, shoulders, intermediate,7.6, kettlebells 
Double Kettlebell Snatch, shoulders, expert,0, kettlebells 
Dumbbell Clean And Jerk, shoulders, expert,0, dumbbell 
Dumbbell Incline Shoulder Raise, shoulders, beginner,7.4, dumbbell 
Dumbbell Lying One Arm Rear Lateral Raise, shoulders, intermediate,9.3, dumbbell 
Dumbbell Lying Rear Lateral Raise, shoulders, intermediate,8.7, dumbbell 
Dumbbell One Arm Shoulder Press, shoulders, intermediate,8.8, dumbbell 
Dumbbell One Arm Upright Row, shoulders, intermediate,7.6, dumbbell 
Dumbbell Raise, shoulders, beginner,8.4, dumbbell 
Dumbbell Rear Delt Row, shoulders, beginner,0, dumbbell 
Dumbbell Scaption, shoulders, beginner,7.8, dumbbell 
Dumbbell Shoulder Press, shoulders, intermediate,9.1, dumbbell 
Dumbbell Squat To Shoulder Press, shoulders, intermediate,0, dumbbell 
Elbow Circles, shoulders, beginner,4.9, none 
External Rotation, shoulders, beginner,8.6, dumbbell 
External Rotation with Band, shoulders, beginner,0, bands 
External Rotation with Cable, shoulders, beginner,8.5, cable 
Face Pull, shoulders, intermediate,8.5, cable 
Front Cable Raise, shoulders, beginner,8.9, cable 
Front Dumbbell Raise, shoulders, beginner,9.1, dumbbell 
Front Incline Dumbbell Raise, shoulders, beginner,9.1, dumbbell 
Front Plate Raise, shoulders, intermediate,8.8, other 
Front Two Dumbbell Raise, shoulders, beginner,8.7, dumbbell 
Half kneeling Dumbbell Shoulder Press, shoulders, intermediate,0, dumbbell 
Hand Stand Push Up, shoulders, expert,0, body-only 
Handstand Push Ups, shoulders, expert,8.5, body-only 
Internal Rotation with Band, shoulders, beginner,0, bands 
Iron Cross, shoulders, intermediate,8.3, dumbbell 
Jerk Balance, shoulders, intermediate,0, barbell 
Kettlebell Arnold Press , shoulders, - 
Kettlebell Pirate Ships, shoulders, beginner,9.0, kettlebells 
Kettlebell Seated Press, shoulders, intermediate,7.0, kettlebells 
Kettlebell Seesaw Press, shoulders, intermediate,0, kettlebells 
Kettlebell Thruster, shoulders, intermediate,8.6, kettlebells 
Kettlebell Turkish Get Up (Lunge style), shoulders, intermediate,8.6, kettlebells 
Kettlebell Turkish Get Up (Squat style), shoulders, intermediate,8.6, kettlebells 
Kneeling Arm Drill , shoulders, - 
Landmine Linear Jammer, shoulders, intermediate,8.7, barbell 
Lateral Raise With Bands, shoulders, beginner,7.9, bands 
Leverage Shoulder Press, shoulders, beginner,9.0, machine 
Log Lift, shoulders, intermediate,0, other 
Low Pulley Row To Neck, shoulders, beginner,8.3, cable 
Lying One Arm Lateral Raise, shoulders, intermediate,7.9, dumbbell 
Lying Rear Delt Raise, shoulders, intermediate,8.2, dumbbell 
Machine Lateral Raise, shoulders, beginner,8.7, machine 
Machine Shoulder (Military) Press, shoulders, beginner,8.7, machine 
Medicine Ball Scoop Throw, shoulders, beginner,3.2, medicine-ball 
One Arm Incline Lateral Raise, shoulders, beginner,8.7, dumbbell 
One Arm Kettlebell Clean and Jerk , shoulders, - 
One Arm Kettlebell Jerk, shoulders, intermediate,0, kettlebells 
One Arm Kettlebell Military Press To The Side, shoulders, intermediate,0, kettlebells 
One Arm Kettlebell Para Press  , shoulders, - 
One Arm Kettlebell Push Press, shoulders, intermediate,9.3, kettlebells 
One Arm Kettlebell Snatch, shoulders, expert,8.9, kettlebells 
One Arm Kettlebell Split Jerk, shoulders, intermediate,0, kettlebells 
One Arm Kettlebell Split Snatch , shoulders, - 
One Arm Side Laterals, shoulders, beginner,9.2, dumbbell 
Power Partials, shoulders, beginner,9.2, dumbbell 
Punches, shoulders, beginner,0, body-only 
Push Press, shoulders, expert,9.3, barbell 
Push Press Behind the Neck, shoulders, intermediate,6.6, barbell 
Rack Delivery, shoulders, intermediate,0, barbell 
Return Push from Stance, shoulders, beginner,0, medicine-ball 
Reverse Flyes, shoulders, beginner,9.2, dumbbell 
Reverse Flyes With External Rotation, shoulders, intermediate,8.6, dumbbell 
Reverse Machine Flyes, shoulders, beginner,8.3, machine 
Round The World Shoulder Stretch, shoulders, beginner,5.3, other 
Seated Barbell Military Press, shoulders, intermediate,9.2, barbell 
Seated Bent Over Rear Delt Raise, shoulders, intermediate,8.6, dumbbell 
Seated Cable Shoulder Press, shoulders, beginner,8.7, cable 
Seated Dumbbell Press, shoulders, beginner,9.1, dumbbell 
Seated Front Deltoid, shoulders, expert,4.5, body-only 
Seated Side Lateral Raise, shoulders, beginner,8.3, dumbbell 
See Saw Press (Alternating Side Press), shoulders, beginner,8.3, dumbbell 
Shoulder Circles, shoulders, beginner,6.2, none 
Shoulder Press With Bands, shoulders, beginner,7.6, bands 
Shoulder Raise, shoulders, beginner,3.2, none 
Shoulder Stretch, shoulders, beginner,5.6, none 
Side Lateral Raise, shoulders, beginner,8.8, dumbbell 
Side Laterals to Front Raise , shoulders, - 
Side Wrist Pull, shoulders, beginner,8.4, none 
Single Dumbbell Raise, shoulders, beginner,9.0, dumbbell 
Single Arm Linear Jammer, shoulders, intermediate,9.6, barbell 
Sled Overhead Backward Walk, shoulders, beginner,0, other 
Sled Reverse Flye, shoulders, beginner,0, other 
Smith Incline Shoulder Raise, shoulders, beginner,0, barbell 
Smith Machine One Arm Upright Row, shoulders, beginner,7.0, machine 
Smith Machine Overhead Shoulder Press, shoulders, beginner,8.8, machine 
Standing Alternating Dumbbell Press , shoulders, - 
Standing Barbell Press Behind Neck, shoulders, intermediate,7.9, barbell 
Standing Bradford Press, shoulders, beginner,8.5, barbell 
Standing Dumbbell Press , shoulders, - 
Standing Dumbbell Straight Arm Front Delt Raise Above Head, shoulders, intermediate,9.2, dumbbell 
Standing Front Barbell Raise Over Head, shoulders, intermediate,6.9, barbell 
Standing Low Pulley Deltoid Raise, shoulders, beginner,8.5, cable 
Standing Military Press, shoulders, beginner,9.3, barbell 
Standing Palm In One Arm Dumbbell Press, shoulders, beginner,9.3, dumbbell 
Standing Palms In Dumbbell Press, shoulders, intermediate,9.0, dumbbell 
Standing Two Arm Overhead Throw, shoulders, beginner,0, medicine-ball 
Straight Raises on Incline Bench, shoulders, beginner,9.3, barbell 
Suspended Back Fly, shoulders, intermediate,0, other 
Tall Muscle Snatch, shoulders, intermediate,0, barbell 
Two Arm Kettlebell Clean, shoulders, intermediate,7.5, kettlebells 
Two Arm Kettlebell Jerk, shoulders, intermediate,0, kettlebells 
Two Arm Kettlebell Military Press, shoulders, intermediate,8.7, kettlebells 
Upright Barbell Row, shoulders, beginner,8.6, barbell 
Upward Stretch, shoulders, beginner,6.7, none 
Wall Walk, shoulders, intermediate,0, body-only 
Barbell Shrug, traps, beginner,8.4, barbell 
Barbell Shrug Behind The Back, traps, beginner,8.2, barbell 
Cable Shrugs, traps, beginner,8.0, cable 
Calf Machine Shoulder Shrug, traps, beginner,8.7, machine 
Clean Shrug, traps, beginner,6.8, barbell 
Dumbbell Shrug, traps, beginner,8.7, dumbbell 
Kettlebell Sumo High Pull, traps, intermediate,8.7, kettlebells 
Leverage Shrug, traps, beginner,9.1, machine 
Scapular Pull Up, traps, beginner,6.6, none 
Smith Machine Behind the Back Shrug, traps, beginner,8.5, machine 
Smith Machine Shrug, traps, beginner,9.2, machine 
Smith Machine Upright Row, traps, beginner,7.3, machine 
Snatch Shrug, traps, intermediate,6.2, barbell 
Standing Dumbbell Upright Row, traps, beginner,8.7, dumbbell 
Upright Cable Row, traps, intermediate,8.1, cable 
Upright Row With Bands, traps, beginner,7.6, bands 
Band Skull Crusher, triceps, beginner,8.2, bands 
Bench Dips, triceps, beginner,8.7, body-only 
Bench Press Powerlifting, triceps, intermediate,8.6, barbell 
Bench Press with Chains, triceps, expert,8.2, barbell 
Board Press, triceps, intermediate,7.7, barbell 
Body Tricep Press, triceps, beginner,8.7, body-only 
Body Up, triceps, intermediate,9.3, body-only 
Cable Incline Triceps Extension, triceps, beginner,7.1, cable 
Cable Lying Triceps Extension, triceps, beginner,8.6, cable 
Cable One Arm Tricep Extension, triceps, beginner,8.9, cable 
Cable Rope Overhead Triceps Extension, triceps, beginner,8.2, cable 
Chain Handle Extension, triceps, intermediate,8.6, other 
Close Grip Barbell Bench Press, triceps, beginner,9.2, barbell 
Close Grip Dumbbell Press, triceps, beginner,7.9, dumbbell 
Close Grip EZ Bar Press, triceps, beginner,9.2, e-z-curl-bar 
Close Grip Push Up off of a Dumbbell, triceps, intermediate,7.3, body-only 
Cobra Triceps Extension, triceps, intermediate,0, body-only 
Decline Close Grip Bench To Skull Crusher, triceps, intermediate,8.9, barbell 
Decline Dumbbell Triceps Extension, triceps, beginner,8.8, dumbbell 
Decline EZ Bar Triceps Extension, triceps, beginner,9.5, barbell 
Dip Machine, triceps, beginner,8.9, machine 
Dips Triceps Version, triceps, beginner,9.4, body-only 
Dumbbell Floor Press, triceps, intermediate,9.3, dumbbell 
Dumbbell One Arm Triceps Extension, triceps, intermediate,8.4, dumbbell 
Dumbbell Tricep Extension  Pronated Grip, triceps, beginner,6.0, dumbbell 
EZ Bar Skullcrusher, triceps, beginner,9.0, e-z-curl-bar 
Floor Press, triceps, intermediate,8.0, barbell 
Floor Press with Chains, triceps, intermediate,0, barbell 
